id,name
R1,咳嗽
R2,痰液色黄
R3,痰液黏稠
R4,痰多
R5,痰液色白清稀
R6,咽痛
R7,痰中带血
R8,喉痒
R9,连声作呛
R10,痰液粘稠
R11,气急
R12,痰液白色清稀
R13,发烧
R14,头痛
R15,流清涕
R16,喘息
R17,痰白色
R18,无汗
R19,喘咳
R20,怕冷
R21,喘促
R22,喉中有鼾声
R23,痰中夹血
R24,咳血
R25,气短自汗
R26,少气懒言
R27,腰膝酸软
R28,面色苍白
R29,头晕
R30,心慌
R31,胸痛
R32,胸闷
R33,咳痰
R34,面红
R35,痰液腥臭
R36,出汗
R37,盗汗
R38,反酸
R39,吐清水
R40,腹痛
R41,呕吐
R42,腹胀
R43,右下肚肠疼痛
R44,恶心
R45,右下腹疼痛
R46,皮肤隆起
R47,腹部疼痛
R48,恶食
R49,时痛时止
R50,泻泄
R51,肠鸣
R52,大便次数增多
R53,便清稀
R54,肠鸣即泻
R55,食后4小时以上反胃
R56,口吐清水
R57,吐后舒适
R58,反胃
R59, 恶心
R60,进食即吐
R61,吐血
R62,大便黑色
R63,口苦
R64,心 烦
R65,口吐酸水
R66,不停打嗝
R67,声音洪亮
R68,打嗝不停
R69,声音较为缓和
R70,便血
R71,大便色黑
R72,血色紫黑色
R73,排便困难
R74,大便干结
R75,皮肤发黄
R76,小便发黄
R77,眼珠发黄
R78,全身发黄
R79,肚大
R80,青筋显露
R81,下肢水肿
R82,不能平卧
R83,全身浮肿
R84,肚大腹水
R85,腹水
R86,气短无力
R87,腰痛
R88,眼皮水肿
R89,怕风
R90,全身水肿
R91,肢皮肤发亮
R92,小便疼痛
R93,尿急
R94,小便次数多
R95,腰酸
R96,尿中有血
R97,小便时热辣刺痛
R98,尿中带血
R99,梦中尿液自行排出
R100,排尿困难
R101,尿少
R102,无力排尿
R103,吃的多
R104,饿得快
R105,全身肌肉发紧
R106,酸痛
R107,大便清稀
R108,身热
R109,食后发烧
R110,两下肢水肿
R111, 腰腹酸重
R112,水肿
R113,头昏
R114,呼吸急促
R115,气短
R116,头晕胀痛
R117,夜寐不宁
R118,头挚痛
R119,头灼痛
R120,头胀痛
R121,一侧头痛
R122,耳鸣
R123,颜面抽筋
R124,前额头痛
R125,不思睡眠
R126,目眩
R127,看物转动
R128,想吐
R129,不能站立
R130,头晕不能站立
R131,胁肋疼痛
R132,走窜不定
R133,肋胁隐痛
R134,健忘
R135,失眠
R136,神倦
R137,善忘
R138,精神不振
R139,时时叹息
R140,暧气
R141,神志恍惚
R142,悲忧啼哭
R143,久睡不醒
R144,醒后又睡
R145,失眠多梦
R146,通夜不能入睡
R147,夜不易入睡
R148,肢冷
R149,心烦
R150,发抖不能自制
R151,语言不清
R152,拿物不稳
R153,高烧
R154,大汗
R155,昏睡
R156,四肢抽搐
R157,缩手缩脚
R158,胡言乱语
R159,哭笑无常
R160,心神不定
R161,发惊
R162,发怒
R163,大声大叫
R164,不知羞耻
R165,不知冷热
R166,先大便后来血
R167,大便成黑色
R168,下血鲜红
R169,肛门灼热
R170,量多
R171,血色淡
R172,齿龈出血
R173,血色鲜红
R174,牙齿出血
R175,肿痛
R176,鼻出血
R177,鼻腔干燥
R178,色鲜红
R179,烦躁易怒
R180,量多，
R181, 吐血
R182,心烦多怒
R183,下肢和下半身青紫血斑
R184,大小便带血
R185,发热
R186,皮肤瘀点
R187, 皮肤青紫
R188,反复发作
R189,四肢无力
R190,青紫血斑下肢最多
R191,紫斑多发生于下肢
R192,妇人多见
R193,色紫暗淡
R194,全身无力
R195,肌肤发热
R196,便秘
R197,口渴
R198,尿黄
R199,肢体冷痛
R200,肢体麻木
R201,关节红肿
R202,关节疼痛
R203,肌肉消瘦
R204,骨节活动不便
R205,面色痿黄
R206,体倦无力
R207,自行出汗
R208,汗出黏稠
R209,红肿
R210,疼痛
R211,化脓
R212,肿块破溃
R213,脓液稀少
R214,邪毒不化
R215,局部肿胀
R216,疼痛轻微
R217,吐酸水
R218,似饿非饿
R219,胸口嘈杂
R220,食后饱胀
R221,嘈杂
R222,胸口辣刺
R223,咽喉干燥
R224, 头痛
R225,咳喘
R226,无痰
R227,起病慢
R228,头昏眼花
R229,内伤
R230,口干
R231,胸胁胀闷
R232,易怒
R233,身背疼痛
R234,面色萎黄
R235,便脓血
R236,泻痢脓血
R237,肚痛
R238,全身出疹子
R239,咽喉肿痛
R240,耳下肿胀疼痛，发烧
R241,耳下浮肿
R242,发烫
R243,水疱
R244,红色斑疹
R245,丘疹
R246,水疱混浊
R247,皮肤出现疹子
R248,干咳
R249,形体消瘦
R250,脸红潮热
R251,潮热
R252,人体消瘦
R253,全身消瘦
R254,淋巴结肿大
R255,串珠增多增大
R256,皮色暗红
R257,脓肿溃烂
R258,肛门瘙痒
R259,蛻虫爬动
R260,右上腹剧烈疼痛
R261,恶心呕吐
